hr,hum,windspeed,temp_c,feels_like_c,casual,registered,fall,spring,summer,winter,date,new,day,year,month,is_holiday,is_workday,weather,target
0,0.81,0,3.28,3.0014,3,13,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,16
1,0.8,0,2.34,1.9982,8,32,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,40
2,0.8,0,2.34,1.9982,5,27,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,32
3,0.75,0,3.28,3.0014,3,10,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,13
4,0.75,0,3.28,3.0014,0,1,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,1
5,0.75,6,3.28,1.0016,0,1,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,1
6,0.8,0,2.34,1.9982,2,0,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,2
7,0.86,0,1.4,1.0016,1,2,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,3
8,0.75,0,3.28,3.0014,1,7,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,8
9,0.76,0,7.04,7.001,8,6,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,14
10,0.76,17,9.86,9.9974,12,24,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,36
11,0.81,19,8.92,5.9978,26,30,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,56
12,0.77,19,11.74,11.9972,29,55,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,clear,84
13,0.72,20,13.62,13.997,47,47,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,94
14,0.72,19,13.62,13.997,35,71,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,106
15,0.77,20,12.68,13.0004,40,70,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,110
16,0.82,20,11.74,11.9972,41,52,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,93
17,0.82,19,12.68,13.0004,15,52,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,67
18,0.88,17,11.74,11.9972,9,26,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,light_snow,35
19,0.88,17,11.74,11.9972,6,31,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,light_snow,37
20,0.87,17,10.8,11.0006,11,25,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,36
21,0.87,13,10.8,11.0006,3,31,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,34
22,0.94,15,10.8,11.0006,11,17,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,28
23,0.88,20,13.62,13.997,15,24,0,0,0,1,1-1-2011,2011-01-01,Saturday,is_2011,january,no,no,mist,39
0,0.88,20,13.62,13.997,4,13,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,17
1,0.94,17,12.68,13.0004,1,16,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,17
2,1.0,19,11.74,11.9972,1,8,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,9
3,0.94,13,13.62,13.997,2,4,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,6
4,0.94,13,13.62,13.997,2,1,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,3
6,0.77,20,11.74,11.9972,0,2,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,light_snow,2
7,0.76,13,10.8,11.0006,0,1,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,1
8,0.71,15,10.8,11.0006,0,8,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,light_snow,8
9,0.76,15,9.86,9.9974,1,19,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,20
10,0.81,15,8.92,7.001,7,46,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,53
11,0.71,17,8.92,5.9978,16,54,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,70
12,0.66,20,8.92,5.9978,20,73,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,93
13,0.66,9,8.92,7.001,11,64,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,75
14,0.76,13,8.92,7.001,4,55,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,light_snow,59
15,0.81,11,7.98,5.9978,19,55,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,light_snow,74
16,0.71,11,7.98,5.9978,9,67,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,light_snow,76
17,0.57,13,7.98,5.9978,7,58,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,65
18,0.46,22,8.92,5.9978,10,43,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,mist,53
19,0.42,30,7.04,3.0014,1,29,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,30
20,0.39,24,6.1,1.9982,5,17,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,22
21,0.44,22,4.22,-0.9982,11,20,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,31
22,0.44,20,3.28,-2.0014,0,9,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,9
23,0.47,11,2.34,-0.9982,0,8,0,0,0,1,1-2-2011,2011-01-02,Sunday,is_2011,january,no,no,clear,8
0,0.44,24,2.34,-2.998,0,5,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,5
1,0.44,28,1.4,-4.9978,0,2,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,2
4,0.47,26,-0.48,-6.9976,0,1,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,1
5,0.47,19,-0.48,-6.9976,0,3,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,3
6,0.5,26,-1.42,-8.9974,0,30,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,30
7,0.5,13,-1.42,-6.9976,1,63,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,64
8,0.5,19,-1.42,-8.0008,1,153,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,154
9,0.43,26,-0.48,-6.9976,7,81,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,88
10,0.43,17,0.46,-4.9978,11,33,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,44
11,0.4,22,1.4,-4.0012,10,41,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,51
12,0.35,20,2.34,-2.0014,13,48,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,61
13,0.35,19,3.28,-2.0014,8,53,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,61
14,0.3,19,4.22,-0.0016,11,66,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,77
15,0.3,17,4.22,-0.0016,14,58,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,72
16,0.3,17,4.22,-0.0016,9,67,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,76
17,0.3,15,3.28,-0.9982,11,146,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,157
18,0.32,7,3.28,1.0016,9,148,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,157
19,0.47,0,1.4,1.0016,8,102,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,110
20,0.47,7,1.4,-0.9982,3,49,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,52
21,0.64,9,0.46,-2.998,3,49,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,52
22,0.69,9,-1.42,-6.001,0,20,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,20
23,0.55,7,0.46,-2.0014,1,11,0,0,0,1,1-3-2011,2011-01-03,Monday,is_2011,january,no,yes,clear,12
0,0.55,7,-0.48,-4.0012,0,5,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,5
1,0.59,7,-0.48,-4.0012,0,2,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,2
2,0.63,9,-1.42,-6.001,0,1,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,1
4,0.63,6,-1.42,-4.0012,0,2,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,2
5,0.68,7,-2.36,-6.001,0,4,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,4
6,0.74,7,-2.36,-6.001,0,36,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,36
7,0.74,9,-2.36,-6.001,2,92,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,94
8,0.69,11,-1.42,-6.001,2,177,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,179
9,0.64,15,-0.48,-6.001,2,98,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,100
10,0.69,22,-0.48,-6.9976,5,37,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,mist,42
11,0.51,20,2.34,-2.0014,7,50,0,0,0,1,1-4-2011,2011-01-04,Tuesday,is_2011,january,no,yes,clear,57
